Device,Model,MaxNumSeqs,MaxNumBatchedTokens,TensorParallelSize,MaxModelLen,Dataset,InputLen,OutputLen
v6e-8,Qwen/Qwen2.5-32B,64,64,8,10400,sonnet,10000,300
v6e-8,Qwen/Qwen2.5-32B,64,128,8,10400,sonnet,10000,300
v6e-8,Qwen/Qwen2.5-32B,64,256,8,10400,sonnet,10000,300
v6e-8,Qwen/Qwen2.5-32B,64,512,8,10400,sonnet,10000,300
v6e-8,Qwen/Qwen2.5-32B,64,1024,8,10400,sonnet,10000,300
v6e-8,Qwen/Qwen2.5-32B,64,2048,8,10400,sonnet,10000,300
v6e-8,Qwen/Qwen2.5-32B,64,4096,8,10400,sonnet,10000,300
v6e-8,Qwen/Qwen2.5-32B,128,128,8,10400,sonnet,10000,300
v6e-8,Qwen/Qwen2.5-32B,128,256,8,10400,sonnet,10000,300
v6e-8,Qwen/Qwen2.5-32B,128,512,8,10400,sonnet,10000,300
v6e-8,Qwen/Qwen2.5-32B,128,1024,8,10400,sonnet,10000,300
v6e-8,Qwen/Qwen2.5-32B,128,2048,8,10400,sonnet,10000,300
v6e-8,Qwen/Qwen2.5-32B,128,4096,8,10400,sonnet,10000,300
v6e-8,Qwen/Qwen2.5-32B,256,256,8,10400,sonnet,10000,300
v6e-8,Qwen/Qwen2.5-32B,256,512,8,10400,sonnet,10000,300
v6e-8,Qwen/Qwen2.5-32B,256,1024,8,10400,sonnet,10000,300
v6e-8,Qwen/Qwen2.5-32B,256,2048,8,10400,sonnet,10000,300
v6e-8,Qwen/Qwen2.5-32B,256,4096,8,10400,sonnet,10000,300
v6e-8,Qwen/Qwen2.5-32B,512,512,8,10400,sonnet,10000,300
v6e-8,Qwen/Qwen2.5-32B,512,1024,8,10400,sonnet,10000,300
v6e-8,Qwen/Qwen2.5-32B,512,2048,8,10400,sonnet,10000,300
v6e-8,Qwen/Qwen2.5-32B,512,4096,8,10400,sonnet,10000,300
