Device,Model,MaxNumSeqs,MaxNumBatchedTokens,TensorParallelSize,MaxModelLen,Dataset,InputLen,OutputLen,ExpectedETEL
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,64,8,300,custom-token,128,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,128,8,300,custom-token,128,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,256,8,300,custom-token,128,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,512,8,300,custom-token,128,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,1024,8,300,custom-token,128,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,2048,8,300,custom-token,128,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,4096,8,300,custom-token,128,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,128,8,300,custom-token,128,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,256,8,300,custom-token,128,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,512,8,300,custom-token,128,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,1024,8,300,custom-token,128,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,2048,8,300,custom-token,128,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,4096,8,300,custom-token,128,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,256,8,300,custom-token,128,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,512,8,300,custom-token,128,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,1024,8,300,custom-token,128,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,2048,8,300,custom-token,128,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,4096,8,300,custom-token,128,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,512,8,300,custom-token,128,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,1024,8,300,custom-token,128,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,2048,8,300,custom-token,128,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,4096,8,300,custom-token,128,128,
