Device,Model,MaxNumSeqs,MaxNumBatchedTokens,TensorParallelSize,MaxModelLen,Dataset,InputLen,OutputLen
v6e-8,Qwen/Qwen2.5-14B-Instruct,64,64,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-14B-Instruct,64,128,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-14B-Instruct,64,256,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-14B-Instruct,64,512,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-14B-Instruct,64,1024,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-14B-Instruct,64,2048,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-14B-Instruct,64,4096,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-14B-Instruct,128,128,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-14B-Instruct,128,256,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-14B-Instruct,128,512,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-14B-Instruct,128,1024,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-14B-Instruct,128,2048,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-14B-Instruct,128,4096,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-14B-Instruct,256,256,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-14B-Instruct,256,512,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-14B-Instruct,256,1024,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-14B-Instruct,256,2048,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-14B-Instruct,256,4096,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-14B-Instruct,512,512,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-14B-Instruct,512,1024,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-14B-Instruct,512,2048,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-14B-Instruct,512,4096,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-32B,64,64,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-32B,64,128,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-32B,64,256,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-32B,64,512,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-32B,64,1024,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-32B,64,2048,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-32B,64,4096,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-32B,128,128,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-32B,128,256,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-32B,128,512,8,2048,sonnet,1800,128
