Device,Model,MaxNumSeqs,MaxNumBatchedTokens,TensorParallelSize,MaxModelLen,Dataset,InputLen,OutputLen
v6e-1,Qwen/Qwen2.5-1.5B-Instruct,256,4096,1,2048,sonnet,1800,128
v6e-1,Qwen/Qwen2.5-7B-Instruct,256,2048,1,2048,sonnet,1800,128
v6e-1,Qwen/Qwen3-4B,128,512,1,2048,sonnet,1800,128
v6e-1,Qwen/Qwen3-8B,128,512,1,2048,sonnet,1800,128
v6e-1,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,128,1024,1,2048,sonnet,1800,128
v6e-1,meta-llama/Llama-3.1-8B-Instruct,256,1024,1,2048,sonnet,1800,128
v6e-1,microsoft/Phi-3-mini-128k-instruct,128,1024,1,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-14B-Instruct,256,2048,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen2.5-32B,256,2048,8,2048,sonnet,1800,128
v6e-8,Qwen/Qwen3-32B,256,2048,8,2048,sonnet,1800,128
v6e-8,RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8,256,2048,8,2048,sonnet,1800,128
v6e-8,google/gemma-3-27b-it,256,4096,8,1280,sonnet,1000,100
v6e-8,meta-llama/Llama-3.1-70B-Instruct,256,2048,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.3-70B-Instruct,256,2048,8,2048,sonnet,1800,128
v6e-8,mistralai/Codestral-22B-v0.1,256,2048,8,2048,sonnet,1800,128
v6e-8,mistralai/Mistral-Small-24B-Instruct-2501,256,2048,8,2048,sonnet,1800,128
v6e-8,mistralai/Mixtral-8x7B-Instruct-v0.1,512,4096,8,2048,sonnet,1800,128
